Question,Answer,Sources
What complications can arise from a colonoscopy?,I cannot find the answer in the provided medical records.," Pyeloureteroscopy ,  Laparoscopic Gastric Banding - Preop Visit  ,  Prostate Adenocarcinoma "
Describe the patient's history with type 2 diabetes.,The patient has a family history of type II diabetes on her mother's side (FAMILY HISTORY). She denies having diabetes herself (Denials list).," Gastric Bypass Discussion - 3 ,  Laparoscopic Gastric Banding - Preop Visit  ,  Laparoscopic Gastric Bypass Consult - 2 "
What are the signs of acute appendicitis?,I cannot find the answer in the provided medical records.," Laparoscopic Gastric Bypass Consult - 2 ,  Testicular Pain "
How is a rotator cuff tear repaired?,I cannot find the answer in the provided medical records.," Laparoscopic Gastric Bypass ,  Tracheostomy ,  Laparoscopic Gastric Banding - Preop Visit  "
What is the purpose of a stress test?,I cannot find the answer in the provided medical records.," 2-D Echocardiogram - 2 ,  Laparoscopic Gastric Banding - Preop Visit  ,  Allergic Rhinitis "
Describe the symptoms of pneumonia.,I cannot find the answer in the provided medical records.," Laparoscopic Gastric Bypass Consult - 2 ,  Prostatitis - Recheck ,  Allergic Rhinitis "
What medications were prescribed for hypertension?,"For hypertension, the following medications were prescribed:
*   Hydrochlorothiazide (PAST MEDICAL HISTORY, MEDICATIONS)
*   Norvasc (HOME MEDICATIONS)
*   Toprol 50 mg (HOME MEDICATIONS)
*   Clonidine 0.2 mg (HOME MEDICATIONS)
*   Hydralazine (HOME MEDICATIONS)"," Gastric Bypass Discussion - 3 ,  Urinary Retention ,  Laparoscopic Gastric Bypass Consult - 2 "
What are the risks of general anesthesia?,I cannot find the answer in the provided medical records.," Inguinal Herniorrhaphy - 2 ,  Laparoscopic Gastric Banding - Preop Visit  ,  Prostate Adenocarcinoma "
How is a sleep apnea study conducted?,I cannot find the answer in the provided medical records.," Laparoscopic Gastric Bypass Consult - 1 ,  Gastric Bypass Summary ,  Laparoscopic Gastric Banding - Preop Visit  "
What findings suggest a kidney stone?,"Findings that suggest a kidney stone include:
*   A 6-mm left intrarenal stone, which was identified as nonobstructing by ultrasound and IVP (Microhematuria - Consult, Urology).
*   A renal ultrasound on 07/24/2008 revealed a 6 mm left intrarenal stone (Microhematuria - Consult, Urology).
*   An IVP on the same day revealed a calcification over the left kidney (Microhematuria - Consult, Urology).
*   The patient has a history of kidney stones (Microhematuria - Consult, Urology).
*   Microhematuria, noted as 5-9 RBCs on a UA, prompted further investigation due to the patient's history of kidney stones (Microhematuria - Consult, Urology).", Microhematuria - Consult 
Describe the procedure for a tonsillectomy.,I cannot find the answer in the provided medical records.," Tracheostomy ,  Bony Impacted Teeth Removal "
What is the recovery time for knee arthroscopy?,I cannot find the answer in the provided medical records.," Inguinal Herniorrhaphy - 2 ,  Laparoscopic Gastric Banding - Preop Visit  ,  Left Orchiectomy & Right Orchidopexy "
What are the symptoms of vertigo?,I cannot find the answer in the provided medical records.," Moyamoya Disease ,  Laparoscopic Gastric Bypass Consult - 2 ,  Testicular Pain "
How is asthma managed in this patient?,I cannot find the answer in the provided medical records.," Prostatitis - Recheck ,  Laparoscopic Gastric Banding - Preop Visit  ,  Allergic Rhinitis "
What does an MRI of the brain reveal?,"An MRI Brian Scan on 2/11/92 revealed an old lacunar infarct in the right basal ganglia, edema within the head of the left caudate nucleus suggesting an acute ischemic event, and arterial enhancement of the left MCA distribution suggesting slow flow (Migraine Headache.). The arterial enhancement suggested a vasculopathy such as Moya Moya or fibromuscular dysplasia (Migraine Headache.).", Moyamoya Disease 
Describe the symptoms of gastroesophageal reflux disease (GERD).,"I cannot find the answer in the provided medical records. The context mentions that the patient has gastroesophageal reflux disease (PAST MEDICAL HISTORY, Gastric Bypass Discussion - 3, Bariatrics), but it does not describe the symptoms of GERD."," Laparoscopic Gastric Bypass Consult - 2 ,  Gastric Bypass Discussion - 3 "
What is the treatment for an ankle fracture?,I cannot find the answer in the provided medical records.," Inguinal Herniorrhaphy - 2 ,  Mini Laparotomy & Radical Retropubic Prostatectomy ,  Laparoscopic Gastric Banding - Preop Visit  "
How is a biopsy of a skin lesion performed?,I cannot find the answer in the provided medical records.," TURBT ,  Penile Skin Bridges Excision  "
What are the signs of congestive heart failure?,"I cannot find the answer in the provided medical records. The context only states that the patient ""specifically denies... congestive heart failure"" (Sample Name: Context)."," Laparoscopic Gastric Bypass Consult - 2 ,  2-D Echocardiogram - 2 "
Describe the patient's allergies and reactions.,"The patient presents with a complaint of allergies (Allergic Rhinitis). She experienced allergies when she lived in Seattle, but believes they are worse in her current location (Allergic Rhinitis). She has no known medicine allergies (Allergic Rhinitis).

Her reactions include erythematous and swollen nasal mucosa with clear drainage (Allergic Rhinitis). Her throat was also mildly erythematous without exudate (Allergic Rhinitis). She has asthma, but does not require daily medication for it and does not think it is currently flaring up (Allergic Rhinitis)."," Laparoscopic Gastric Banding - Preop Visit  ,  Allergic Rhinitis "
